n_raters,mean_kappa,sd_kappa,mean_delta,sd_delta,mean_delta_from_final,sd_delta_from_final,true_kappa
44,0.4088670948916882,0.01531764934358473,0.0015145065863551763,0.001158699070646347,0.0035940851125062455,0.0026687177662135728,0.4
45,0.40886174831210714,0.015220065990213501,0.0015318433231863958,0.0011170272589159681,0.003185454267183744,0.0023764188505935474,0.4
46,0.40882948418637366,0.015131343064336824,0.001435733649317961,0.0010954222321274518,0.0027637551427608965,0.0021089362131556854,0.4
47,0.4088314659273873,0.014945851561753829,0.001393193253329399,0.0010655312948945326,0.00242078072466315,0.0018163737301720346,0.4
48,0.4088638664954563,0.014852537607247944,0.0014639762850604543,0.0011244292805991046,0.0019112482047008354,0.0014541223632997175,0.4
49,0.40880389446351034,0.014702707838464394,0.0013133119134718981,0.000994422560386932,0.0013604290449157142,0.0010173610671025415,0.4
50,0.4089077391072389,0.014623047415018086,0.0013604290449157142,0.0010173610671025415,0.0,0.0,0.4
3,0.4997605261830826,0.05446467910764933,,,0.041794899113525616,0.030265226370891095,0.5
4,0.5006393589546995,0.0473865201026518,0.022791631079542723,0.01695557338262983,0.03524388638433963,0.02608052305680754,0.5
5,0.5014611341264964,0.04230710992433266,0.016426332335468075,0.012343069227786548,0.03058470595019822,0.022780330994295744,0.5
6,0.5009579178448186,0.03779084117758374,0.013827196656713841,0.010604896587327831,0.02644737540007553,0.020136963592173686,0.5
7,0.5003937272016995,0.03532490100008415,0.011190202025101357,0.008222615336268575,0.024269150439150712,0.01832323710342892,0.5
8,0.5005069681544726,0.03363230323551183,0.009228331000759524,0.006712534934891129,0.0226474059588898,0.017142473867139598,0.5
9,0.5004775178191385,0.03175926168347578,0.008059386432679293,0.006315421733984948,0.021159545172768038,0.01564133760994434,0.5
10,0.5000848339303533,0.030205255863912213,0.007653727359286165,0.005657517490884579,0.01978143630069382,0.014486645345146487,0.5
11,0.5001906950633076,0.028875775909589486,0.00669507923591365,0.004928407608900272,0.018541520202739685,0.013685863884159379,0.5
12,0.5003643615188019,0.027922407639711662,0.006148958466721987,0.004616764586378546,0.017471167528289887,0.013050862706476376,0.5
13,0.5003529818476533,0.02676690044587373,0.005674595015266014,0.0044494124089008505,0.016247387407187563,0.012504870341570959,0.5
14,0.500613808939104,0.02586800666844107,0.005233492749350032,0.00381237077923064,0.015439586211678983,0.011759416931644784,0.5
15,0.5007389361027986,0.025178760599569673,0.004755020966229313,0.0035654225924460874,0.014841240197659429,0.011208543848403314,0.5
16,0.5008040640016203,0.02445921519560699,0.004438589740345366,0.003404118293280011,0.01423291472650505,0.010734528617040513,0.5
17,0.5007066012249015,0.02415702215259053,0.00427042337419673,0.0033348105788542403,0.013686729050544891,0.010414446028843142,0.5
18,0.5006190820009329,0.02348084151104853,0.0038487297486359795,0.003040636033014729,0.012999570640375033,0.009952237527706609,0.5
19,0.5009170754902038,0.022960482075813703,0.003775002004754291,0.0027862990500577265,0.01248527631242364,0.009457674905276704,0.5
20,0.5009247034433049,0.022503093258984027,0.003576891286758148,0.0026591905321797413,0.01186068640121047,0.009053494143120002,0.5
21,0.5008582878988119,0.022154453840903837,0.0033360219090658835,0.0025217687325865125,0.011373551721317465,0.00888259209448582,0.5
22,0.5009166387769074,0.0217064348863858,0.003215962810842335,0.0023850426414824956,0.010818743509917912,0.008635740907368801,0.5
23,0.5008775833436103,0.02119748237180494,0.003198093660885766,0.002402034861402883,0.010349398009299685,0.008173148631546464,0.5
24,0.5007171954201158,0.02089423587971834,0.0029009726661599487,0.0022699166674529487,0.010094318869063727,0.00785070290249592,0.5
25,0.5006709632647526,0.02044928271560208,0.0028679203519554036,0.00218042032114888,0.009707618524427431,0.007534982157925508,0.5
26,0.5008368848077334,0.020287048714445397,0.002572440322831077,0.0019951121571038254,0.009413434446921403,0.007173907373877754,0.5
