n_raters,mean_kappa,sd_kappa,mean_delta,sd_delta,mean_delta_from_final,sd_delta_from_final,true_kappa
35,0.40970911960352946,0.01676277395404667,0.0016420700943884808,0.0012473365247610247,0.005304460457375344,0.004205506313668831,0.4
36,0.4098224036275518,0.01667000773602159,0.0016638475477120593,0.0012317305235006709,0.005106059325416376,0.0040020908396117445,0.4
37,0.409837765002975,0.016631085924180916,0.0015930071026098297,0.001209484465502962,0.00485938506502731,0.003847409558593562,0.4
38,0.40988237232673386,0.016516233005031144,0.0015759002939104753,0.0012208995669209,0.004594406740870819,0.0035722076462803226,0.4
39,0.40990329090095223,0.01640794562209881,0.00155731802570107,0.001156262169281392,0.004284890630918428,0.003343258864954983,0.4
40,0.40989158949334475,0.016290505328129763,0.0014782778483855622,0.0010728081857104277,0.0040125981264168085,0.0031215678028376657,0.4
41,0.40990133377476035,0.016161466529949667,0.0014687974286686752,0.0010946273867572629,0.003762602500934231,0.0029939105677322165,0.4
42,0.40990775427935966,0.016078086830407075,0.0013749444887793433,0.0010368238548959753,0.0034961203524063677,0.0027561114910262994,0.4
43,0.4098369346663998,0.015951725261974272,0.001431418180621816,0.0011028564230815886,0.003259430779841176,0.00251124012531265,0.4
44,0.4098566040614901,0.015735895540201127,0.001357344102872305,0.0010087147075950413,0.0030481332342122674,0.002337200527830643,0.4
45,0.4097877036306954,0.01565064609631737,0.0012898363817090254,0.0009826123027290498,0.0027574795650040828,0.002109051691752845,0.4
46,0.40965688666315503,0.015471830048923815,0.0013550028071454999,0.0009962524191703163,0.0023990494520109112,0.0018174439308158436,0.4
47,0.4096958618636471,0.015331474472612877,0.0012826199033373626,0.000988290239392169,0.0020398389222863345,0.0015111572698330185,0.4
48,0.4097204315209921,0.015246335771092138,0.0012375691231472515,0.000930617834715803,0.0016571430100451043,0.00124066733983687,0.4
49,0.40971853244495765,0.015233252093875676,0.0012078486424470071,0.0009260973017121385,0.0011762620097713365,0.0008761747866478032,0.4
50,0.4097068313238833,0.015134623839534098,0.0011762620097713365,0.0008761747866478032,0.0,0.0,0.4
3,0.502256573151504,0.04808297975669436,,,0.03602274768517666,0.028028544606581253,0.5
4,0.501458651299061,0.042090300044042066,0.020157359143734566,0.014958785836921827,0.031178400528662487,0.02378689196529001,0.5
5,0.5022756954495403,0.03816428679189842,0.01473168048062761,0.011085785187387573,0.027813623779791064,0.02095214547044631,0.5
6,0.5023235081368161,0.03477397514108229,0.012160292623818836,0.009177907177569456,0.02458179728795913,0.018705464688132677,0.5
7,0.5022269018311721,0.03263080706331586,0.010028547861679506,0.007882334343322731,0.022492714397379543,0.016974378506832474,0.5
8,0.501520358554339,0.03061083877264886,0.008763885801560345,0.006624885227560917,0.020736896850765664,0.015451607905600096,0.5
9,0.501557805060048,0.028894605194917242,0.007261499765935023,0.005706438851821636,0.019160839866466883,0.014298544615707464,0.5
10,0.5015874629339884,0.027426097200275248,0.006776427544556184,0.005191722383248332,0.017569568979505828,0.013593552990085562,0.5
11,0.5013613998653564,0.02581942228844037,0.006034541695025202,0.00455778373013863,0.01604123098739109,0.012441842214683436,0.5
12,0.501018128023153,0.024873692911495104,0.005276034348708467,0.003999344784198304,0.015140684303722748,0.011658063501917615,0.5
13,0.500928088889367,0.0240105160183731,0.004895467537448628,0.003624115301747867,0.014274944669692646,0.010937325477809857,0.5
14,0.5007183021383379,0.023146775554179492,0.004883691859665809,0.0037305093252436574,0.013284509892912312,0.010293877226685207,0.5
15,0.5010192160452495,0.022605883426850455,0.004276721749323484,0.003350430777335031,0.012745949862031064,0.009657156885179,0.5
16,0.5008044980331842,0.02203281714256292,0.003964527648689354,0.002911232013325379,0.0123201902843744,0.009285406737308176,0.5
17,0.5010720346851023,0.021717530451206373,0.003762299169636273,0.0027376180618804884,0.011766251819150881,0.008965891907498297,0.5
18,0.500931607664045,0.021266380291411077,0.0034503622938138884,0.0026062086888161986,0.01124723876649862,0.008484536849382971,0.5
19,0.5010245492402795,0.02083761239299753,0.0031784333228458113,0.0024793038345854164,0.01073912719977643,0.008240642601354433,0.5
20,0.5008747177934773,0.020483741194718755,0.0031615724705680455,0.0024507047584577356,0.01033578932954922,0.007702412986763855,0.5
21,0.5010523664962109,0.020055294612958522,0.002990055347203908,0.002313809498905883,0.009781642128304435,0.007367676016656032,0.5
22,0.5011065156376926,0.01977902492860033,0.0027995179638830394,0.002170392221203201,0.0093634880575831,0.0070790850371609156,0.5
23,0.5010383286822684,0.019560163839509623,0.0026334872732607724,0.0020479403774693325,0.00899462948538227,0.006789725362404853,0.5
24,0.5009636532702989,0.019390096533722083,0.002687978180159494,0.0019395818647332409,0.008679281923450605,0.0066511766243716386,0.5
25,0.50100155041416,0.019169983944550124,0.002538128114665445,0.0018535591271398952,0.008409411679150915,0.006503299485517584,0.5
26,0.5008742228532224,0.018931952002693552,0.002356706849087218,0.0017140893568077305,0.008088432863785664,0.006331389963951078,0.5
27,0.5009266275646956,0.0186252294407136,0.002232422314933835,0.0016775333812805075,0.00778494067648308,0.006124276649191316,0.5
28,0.5009176603473598,0.01832881738577027,0.002258388901967346,0.0016997356538078641,0.007471446962548988,0.005866731996254265,0.5
29,0.5009521433564333,0.01809009342574568,0.0021359164214358115,0.0016273449759694216,0.007233045428647704,0.005580190560727482,0.5
30,0.5010000321738703,0.01787143612502741,0.0020804901269395808,0.0015223931164094024,0.006993662622422219,0.005288034606520989,0.5
31,0.5011686429960555,0.017693296494475222,0.0019804537402024476,0.0014721203140796212,0.006798149006019585,0.0050061464574971066,0.5
32,0.5011471573469208,0.017609170033373957,0.0019316291579950374,0.0014758470680130329,0.00646316197405819,0.00487472741817405,0.5
33,0.5010310611687823,0.017478861693018752,0.0018774068213755501,0.0014061533772564015,0.006198299191288935,0.004530339621339816,0.5
34,0.501014381749999,0.017195316156489594,0.001825970333704832,0.0013633687807265884,0.005812008932423475,0.00434073568518265,0.5
35,0.5009883579483025,0.017117351199265916,0.0017791018481664032,0.0013258430639989092,0.005588268856957365,0.004144352521171571,0.5
36,0.5009513337403816,0.016947695281869662,0.0017053188807411072,0.0013112526154778583,0.005419620930502124,0.00387563464032517,0.5
37,0.5008952198357974,0.01678420538951074,0.0016434147237645322,0.0012270669850812726,0.005136199431917475,0.003772485332524532,0.5
38,0.5009312220453723,0.016629894531854435,0.0015782076107576076,0.001203762775934621,0.004865883259452187,0.0036300329237346405,0.5
39,0.5009200307204618,0.016413189990842673,0.001601239304066948,0.0012041745480574613,0.004622864837113679,0.003393651349680836,0.5
40,0.5010397099135543,0.016322308453447815,0.0015118246180671996,0.0011478548885362288,0.0044165576146344586,0.003212211076680604,0.5
41,0.5010951112124962,0.016189377413627182,0.0014963287093709475,0.0011018349091588514,0.004069809780527344,0.003068666519759362,0.5
42,0.5010067815718525,0.01611075765624839,0.0014487552350630193,0.0011329178904193131,0.0038392264107909983,0.0028716032070841644,0.5
43,0.5010094214363965,0.016092614651041733,0.0014270433275416045,0.001076169804550872,0.003587115289841204,0.002611104080991279,0.5
44,0.501009887960958,0.01608484989105126,0.0014343006177977649,0.0010496762056069163,0.003322538341344156,0.002430455754764098,0.5
45,0.5010012310705986,0.016017464939797527,0.00137928472515764,0.0010594137908843638,0.0029230773639978705,0.0022228181716569193,0.5
46,0.501043391366013,0.015936627437996623,0.0013280113757777809,0.0009790758530168239,0.0026108251648153096,0.0019859402104762842,0.5
47,0.5008972395433492,0.015845915318381476,0.0013330654525100822,0.0010134891422130174,0.0021914837069723424,0.0016776807506024343,0.5
48,0.5009366619459062,0.015722567199061722,0.001284608656610577,0.0009418426710256432,0.0017450375246466747,0.0013574215527310002,0.5
49,0.5008814979173822,0.01569449396164843,0.0012359441858787773,0.0009345514788392122,0.0012138445502756594,0.0009269962429278742,0.5
50,0.500907058101517,0.015682551816707278,0.0012138445502756594,0.0009269962429278742,0.0,0.0,0.5
3,0.5941258900017728,0.04688464502136163,,,0.03619092197745792,0.02728159004959953,0.6
4,0.5951440903004914,0.04013743158712485,0.019668863538808843,0.014551483221240589,0.030195235728679985,0.022616909567198556,0.6
5,0.5957295083425322,0.035199718795287924,0.014424984207296196,0.011096853936461879,0.025926416130434324,0.019403389798541403,0.6
6,0.5958769093388494,0.03221260802855958,0.011444603088756765,0.00861303499482878,0.023102788722304136,0.01732596487422564,0.6
7,0.5958005864061595,0.030115738093309363,0.009708305262758603,0.007207033217989417,0.021052430004015455,0.015847836286141625,0.6
8,0.5954157697527331,0.028570879156434078,0.008239228369362575,0.005881610041691318,0.01957530359112121,0.014791747132604113,0.6
9,0.5959482851964693,0.02744476931702016,0.007169951998012183,0.0054197195146135965,0.01838488634463768,0.013800274727070535,0.6
10,0.5959660523772148,0.02633078129747617,0.006604660053289988,0.004768770885846992,0.017416165874327455,0.013226268114877964,0.6
11,0.5964882173954164,0.025539511943356963,0.00582269835568386,0.004334776211336518,0.016642415808201434,0.012701504758765116,0.6
12,0.5966379415682891,0.024728548480722767,0.005257058651387667,0.003966038897831711,0.01576626760808744,0.01196345282415729,0.6
13,0.5967818413241677,0.024089189633356326,0.004657505219982987,0.0035541600865242884,0.015235050779820025,0.01115314406142539,0.6
14,0.596888336071619,0.023631517151199113,0.004435946582735619,0.0035636597828662504,0.014457358360573425,0.010692093437549196,0.6
15,0.5970364216290595,0.023021912628042908,0.004061429971562329,0.0029852119364891356,0.013709945967503908,0.010502844576105102,0.6
16,0.5970023351440878,0.022321214081130882,0.004008193268614964,0.0029680240100853224,0.012941592184807348,0.009918232813778944,0.6
17,0.5969102347052411,0.0217581650138144,0.0035436685916589578,0.0027610959149549567,0.012380517290444716,0.009466774679362551,0.6
18,0.5968036753501926,0.02123056935359872,0.0034426172422184205,0.0025568317458787427,0.011824016187469068,0.00889268938488131,0.6
