construct,true_kappa,stability_n,precision_n,replication_range_n,overall_recommendation,conservative
Psychosis,0.4,13,30,30,30,33
Psychosis,0.5,13,30,30,30,33
Psychosis,0.6,13,30,30,30,33
Psychosis,0.7,12,30,30,30,33
