n_raters,mean_kappa,sd_kappa,mean_delta,sd_delta,mean_delta_from_final,sd_delta_from_final,true_kappa
21,0.41942925515067575,0.027462338171489933,0.003740031367802087,0.0028447835063907553,0.012378850599508523,0.009328004511199387,0.4
22,0.41928637447878375,0.02691408381366368,0.0034117859858784636,0.002523463732709204,0.011881923407804985,0.008862792156511666,0.4
23,0.41949649145079765,0.026507117568320915,0.0032755981299242257,0.0024316573360718473,0.0113819789276867,0.008487741753033273,0.4
24,0.41943799268022186,0.025935853045912966,0.003233771698092419,0.002411691609847032,0.01079461483924133,0.00802833669333448,0.4
25,0.4193255166899771,0.02555337948340247,0.0029196435010792653,0.0022074213624796893,0.010502686471083062,0.0075714891797457,0.4
26,0.41933495415958005,0.025244111800082878,0.002961956292009796,0.002278289618856606,0.009867140503212076,0.0074036331926591835,0.4
27,0.41936772333049466,0.025229762776484903,0.002881644639265165,0.0021205557380883184,0.00946988468675859,0.007186865500230675,0.4
28,0.41938433362574623,0.025240769100792166,0.0025665845427155134,0.002013425439580721,0.009155728857849833,0.007001055755480018,0.4
29,0.4193953206646488,0.025057918915399085,0.0025243512251645317,0.0018843825152562437,0.008849742815666764,0.006753773798173887,0.4
30,0.4192872402750807,0.024820063911842317,0.0024644961499384406,0.0018715205116190527,0.008461372577850105,0.006480284945773504,0.4
31,0.4192168127547903,0.024687564804102707,0.0024502263917328304,0.001751196788222012,0.00813473311881133,0.006213143786245215,0.4
32,0.41905587679669526,0.024473190111270433,0.002345547478254225,0.0018192467568248453,0.00781668547421334,0.005935863785867771,0.4
33,0.41897143569312745,0.024305002114783165,0.0022829410525378544,0.001680125398335296,0.007507600224417804,0.005699545769204179,0.4
34,0.41870829911153595,0.024230988706424424,0.00223982746126763,0.0016870825664340233,0.007167191430746818,0.005427751664064653,0.4
35,0.41863340146023814,0.02400058403670808,0.0021193733741370125,0.0015708070360113432,0.006771757485121391,0.005101086430506838,0.4
36,0.4186141452164487,0.02391629692410511,0.0020806463488117874,0.0015376153277602764,0.006555028900738744,0.004839548851505632,0.4
37,0.41861863545426514,0.023726455443659266,0.0020750625561544826,0.001577438984204971,0.006200704548806283,0.0045015196231865595,0.4
38,0.41863724444084216,0.023607697387753156,0.001952131991616501,0.0015163698334884775,0.005867904665991663,0.004290146042493168,0.4
