n_raters,mean_kappa,sd_kappa,mean_delta,sd_delta,mean_delta_from_final,sd_delta_from_final,true_kappa
23,0.5017911874363684,0.023014364251040424,0.003060582865354426,0.0023466131070973974,0.010650253144919734,0.00785879873123372,0.5
24,0.5017554096304263,0.02255632707665229,0.0029628726842177546,0.0021907781291176484,0.010285428383912143,0.0076654824726402615,0.5
25,0.5018252875476846,0.022245447058498083,0.0027405036308420093,0.0021650452977458354,0.010008136544992934,0.007320064010652458,0.5
26,0.5018985506989865,0.021840130818258013,0.0025787128432578537,0.0018923532842725164,0.009571102176843848,0.006997894653414296,0.5
27,0.5018762682821984,0.021547365450009563,0.002572762464884919,0.002056836018494543,0.009224148588951804,0.0066718054089514875,0.5
28,0.5017954079293369,0.0213230008329366,0.0023340362785013572,0.001820213648326329,0.008884235966158168,0.006258191951305027,0.5
29,0.5018155854682494,0.021112323808264773,0.002452820516432735,0.00178935956631596,0.008497978602906006,0.006241012405347429,0.5
30,0.5019510061804493,0.02097790548087617,0.0023117492031021047,0.0017767652194270647,0.00812865930126061,0.006011886574908557,0.5
31,0.5018389557157701,0.020688852070581607,0.0023116275392347898,0.0017393364142104456,0.007793271377250749,0.0057757833900945665,0.5
32,0.5017325685067094,0.020539771768922587,0.0021203414605018233,0.0016203770948044207,0.007438498180231206,0.005536734459373976,0.5
33,0.5017440296018575,0.020240142516812647,0.0020892923852377713,0.0015798612498346526,0.007148722325077917,0.005188945798048445,0.5
34,0.5016564007061111,0.020240225369973892,0.002019284313384397,0.0015408918321178496,0.006792324947397366,0.005053210255807412,0.5
35,0.5017081599161058,0.020151361832408572,0.001937881046519252,0.0014112436653416398,0.006510271514384484,0.004749781609968928,0.5
36,0.5016667006452622,0.02001457271111308,0.0018391135832303896,0.0013809990969878198,0.006193353003278286,0.004595971454537828,0.5
37,0.5016112859132535,0.019844408251322564,0.0018378707390013082,0.0014267636105019603,0.0057901071304718235,0.004411747697243587,0.5
38,0.5015423166546444,0.019425428335734074,0.001795680142568603,0.0012776988462693706,0.005457309984886563,0.00412501522642053,0.5
39,0.5015764716215425,0.019318527484448133,0.0017260393705951125,0.001282466036765972,0.005149398335064179,0.003908581704534334,0.5
40,0.5015483691060793,0.019211457002576687,0.0017302741133651133,0.0012993385022081953,0.004806830425327915,0.0035886227553612884,0.5
41,0.5016044620241402,0.01911186607913921,0.0016505543914473529,0.0012426564790275379,0.004474465173268829,0.003368378621864894,0.5
42,0.5016471757885769,0.019004420228470997,0.0015735198089411985,0.0011350125677106419,0.0041541671357690855,0.003263325571275858,0.5
43,0.5016688398402569,0.01894766420159778,0.0015577660888985852,0.0011681374711736356,0.0038805925332271803,0.0029002635924803653,0.5
44,0.501588250135199,0.018801846381993757,0.001471952675496738,0.0011348027418192391,0.003582226213987483,0.002718745569902894,0.5
45,0.5015478833413342,0.018698272288501336,0.0015153253148930464,0.0011213895209348373,0.003285130164460362,0.0024333517691864266,0.5
46,0.5014801299569144,0.018636023068506292,0.0014933035514047923,0.0011313143036296464,0.002858081791004545,0.00212937269701698,0.5
47,0.5015453043799125,0.01855454629750257,0.0014573900986207633,0.0010861568299116405,0.00245994625555079,0.0018110509567077168,0.5
48,0.5015172051352831,0.018601287742967567,0.001396517922145567,0.001044950350783381,0.0019652507018234748,0.0014444786705249501,0.5
49,0.5015013209902427,0.018498573758816743,0.001386124980683196,0.0010223621343533563,0.001328449621918974,0.0009768323828835419,0.5
50,0.5016064229360908,0.01840193991526448,0.001328449621918974,0.0009768323828835419,0.0,0.0,0.5
3,0.5948213517251243,0.05194521227719555,,,0.03989315401109382,0.029531503729799815,0.6
4,0.5931895960947459,0.04543749350846898,0.021011978401560296,0.015946245567624463,0.034179813291599796,0.02548736800475119,0.6
5,0.5934484902838248,0.04098665286171039,0.01629445448500287,0.011759190224701106,0.029640226395086594,0.022533215575983843,0.6
6,0.5937059202206998,0.03739330017012426,0.013096669283911011,0.009841969674792608,0.027031996695646522,0.019391058891457424,0.6
7,0.5933479997307106,0.03516704286023253,0.011293550728412758,0.008641973904498404,0.02474459696517048,0.017535387084066413,0.6
8,0.5935070503806852,0.03300902565979611,0.009509179624865974,0.007183447708665539,0.022517777827375077,0.016431612676038928,0.6
9,0.5936871590139782,0.031194281624829744,0.008063647580608176,0.006160052442987171,0.020630685881838966,0.015105030417700751,0.6
10,0.5939951420861825,0.0301507782296043,0.00716077504161572,0.005533597577136655,0.01936633193007426,0.014456129837373271,0.6
11,0.5937585215862267,0.029358108079542505,0.006636205239550248,0.004910824794536202,0.018256336108580885,0.01371849089052272,0.6
12,0.5936483986894423,0.028553386433841938,0.006144317682767089,0.004580755654264163,0.01712286195902355,0.013007356886040614,0.6
13,0.593924635148644,0.027657827298472645,0.005405293652595672,0.003987536370041398,0.016436233808409927,0.0123018057152243,0.6
14,0.5940213038311989,0.027305195919754836,0.0050603256134073476,0.0036775710529348866,0.015799467523530605,0.0119824318380829,0.6
15,0.5939697390918879,0.026595355068714167,0.004767473205081433,0.0036368322472598996,0.015122384613804244,0.011528442189181988,0.6
16,0.5942169234488437,0.025561520650152752,0.004468930948344516,0.003306129450335207,0.013692890444549346,0.010920789020443689,0.6
17,0.5942380172528405,0.025334778470810976,0.004158892310688108,0.003124758760931142,0.01326809542720239,0.010465953189980687,0.6
18,0.5940736034279581,0.024722100836583442,0.0038052916609110834,0.0027239530988410515,0.012838392632520254,0.009874875968398677,0.6
19,0.5941349156356653,0.024367227839666227,0.0034780181703319853,0.002644694329644513,0.012364024513027781,0.009499700384746027,0.6
20,0.594107189000966,0.023900624118056494,0.003456305426464564,0.002660495737680051,0.011686067205550162,0.009082896167413214,0.6
21,0.5944234225114331,0.023632287753082223,0.0033173152688083583,0.002456417963987014,0.011331469697785593,0.00882391856581926,0.6
22,0.5945096740324204,0.023099375947522472,0.003062368817259812,0.0023040264460079396,0.010694421338338108,0.00834858554117823,0.6
23,0.5945129233672748,0.02278116784997238,0.0029684404351909706,0.0022438471561893516,0.010463612936365344,0.00786562111355451,0.6
24,0.594333578998132,0.022663542422407458,0.002818280955247223,0.00217050071010989,0.01010009794208392,0.007667844499822955,0.6
25,0.5944435003905102,0.022315691547523348,0.00274939635665989,0.0019536565323812196,0.009667731185688273,0.007347224052128663,0.6
26,0.5944307339693337,0.022061399360473046,0.0025734091927640825,0.002016562555168196,0.009323196865399487,0.007059076185381292,0.6
27,0.5945095974048793,0.021809486284818633,0.002466449317621654,0.0017964943004661175,0.00896519301349581,0.006747989100503515,0.6
28,0.5945467413650717,0.021473927345939767,0.0025687394811695218,0.0018708610029775463,0.008592661816759283,0.006475786546607306,0.6
